コントロールカラム,商品管理番号（商品URL）,商品名,表示先カテゴリ,優先度,URL,1ページ複数形式
"","9th-p_r","【ピストバイク 完成車】 クリエイト 9th レッド  (CREATE 9th Chrome / A-Red) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","完成車\CREATE","9999","http://item.rakuten.co.jp/brotures/c/0000000125/",""
"","9th-r_p","【ピストバイク 完成車】 クリエイト 9th ポリッシュ  (CREATE 9th RED / POLISH) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","パーツ\完成車","9999","http://item.rakuten.co.jp/brotures/c/0000000127/",""
"","9th-r_p","【ピストバイク 完成車】 クリエイト 9th ポリッシュ  (CREATE 9th RED / POLISH) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","ブランド\CREATE","9999","http://item.rakuten.co.jp/brotures/c/0000000179/",""
"","9th-r_p","【ピストバイク 完成車】 クリエイト 9th ポリッシュ  (CREATE 9th RED / POLISH) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","完成車\CREATE","9999","http://item.rakuten.co.jp/brotures/c/0000000125/",""
"","9th-w_bl_gr","【ピストバイク 完成車】 クリエイト 9th ホワイト ブルー グリーン  (CREATE 9th Matte White / Blue / Green) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","パーツ\完成車","9999","http://item.rakuten.co.jp/brotures/c/0000000127/",""
"","9th-w_bl_gr","【ピストバイク 完成車】 クリエイト 9th ホワイト ブルー グリーン  (CREATE 9th Matte White / Blue / Green) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","ブランド\CREATE","9999","http://item.rakuten.co.jp/brotures/c/0000000179/",""
"","9th-w_bl_gr","【ピストバイク 完成車】 クリエイト 9th ホワイト ブルー グリーン  (CREATE 9th Matte White / Blue / Green) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","完成車\CREATE","9999","http://item.rakuten.co.jp/brotures/c/0000000125/",""
"","acc-sticker","【ピストバイク ハンドル】 LEADER リーダーバイク BIKE DOWN TUBE ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","ブランド\LEADERBIKE","9999","http://item.rakuten.co.jp/brotures/c/0000000146/",""
"","acc-sticker","【ピストバイク ハンドル】 LEADER リーダーバイク BIKE DOWN TUBE ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","パーツ\アクセサリー","9999","http://item.rakuten.co.jp/brotures/c/0000000144/",""
"","acc_adapter_bk","grunge ステムアダプター BLACKgrunge ブラック ステムアダプター BLACK  ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","その他","999999999","http://item.rakuten.co.jp/brotures/c/0000000001/",""
"","acc_adapter_s","grunge ステムアダプター SILVERgrunge シルバー ステムアダプター SILVER  ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","その他","999999999","http://item.rakuten.co.jp/brotures/c/0000000001/",""
"","acc_ec-01","NITTO EC-01 バーエンドキャップNITTO カラー EC-01 バーエンドキャップ  ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","その他","999999999","http://item.rakuten.co.jp/brotures/c/0000000001/",""
"","acckcnc_valvecap","KKCNC パブルキャップ フレンチKKCNC シルバー パブルキャップ フレンチ  ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","その他","999999999","http://item.rakuten.co.jp/brotures/c/0000000001/",""
"","advanced","【ピストバイク クランク】MICHE ADVANCED Crank SILVER  シルバー ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","ブランド\MICHE","9999","http://item.rakuten.co.jp/brotures/c/0000000190/",""
"","advanced","【ピストバイク クランク】MICHE ADVANCED Crank SILVER  シルバー ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","パーツ\クランク","9999","http://item.rakuten.co.jp/brotures/c/0000000133/",""
"","advanced_bk","【ピストバイク クランク】MICHE ADVANCED Crank BLACK  ブラック ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","ブランド\MICHE","9999","http://item.rakuten.co.jp/brotures/c/0000000190/",""
"","advanced_bk","【ピストバイク クランク】MICHE ADVANCED Crank BLACK  ブラック ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","パーツ\クランク","9999","http://item.rakuten.co.jp/brotures/c/0000000133/",""
"","advanced_blue","MICHE Chainring BLUEミケ 【スプロケット】 ブルー ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","ブランド\MICHE","9999","http://item.rakuten.co.jp/brotures/c/0000000190/",""
"","advanced_blue","MICHE Chainring BLUEミケ 【スプロケット】 ブルー ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","パーツ\スプロケット","9999","http://item.rakuten.co.jp/brotures/c/0000000135/",""
"","advanced_blue_2","【ピストバイク クランク】MICHE ADVANCED Crank BLUE  ブルー ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","ブランド\MICHE","9999","http://item.rakuten.co.jp/brotures/c/0000000190/",""
"","advanced_blue_2","【ピストバイク クランク】MICHE ADVANCED Crank BLUE  ブルー ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","パーツ\クランク","9999","http://item.rakuten.co.jp/brotures/c/0000000133/",""
"","advanced_gold","MICHE Chainring GOLDミケ 【スプロケット】 ゴールド ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","ブランド\MICHE","9999","http://item.rakuten.co.jp/brotures/c/0000000190/",""
"","advanced_gold","MICHE Chainring GOLDミケ 【スプロケット】 ゴールド ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","パーツ\スプロケット","9999","http://item.rakuten.co.jp/brotures/c/0000000135/",""
"","advanced_gold_2","【ピストバイク クランク】MICHE ADVANCED Crank GOLD  ゴールド ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","ブランド\MICHE","9999","http://item.rakuten.co.jp/brotures/c/0000000190/",""
