コントロールカラム,商品管理番号（商品URL）,商品番号,全商品ディレクトリID,タグID,PC用キャッチコピー,モバイル用キャッチコピー,商品名,販売価格,表示価格,消費税,送料,個別送料,送料区分1,送料区分2,代引料,倉庫指定,商品情報レイアウト,注文ボタン,資料請求ボタン,商品問い合わせボタン,再入荷お知らせボタン,モバイル表示,のし対応,PC用商品説明文,モバイル用商品説明文,スマートフォン用商品説明文,PC用販売説明文,商品画像URL,商品画像名（ALT）,動画,販売期間指定,注文受付数,在庫タイプ,在庫数,在庫数表示,項目選択肢別在庫用横軸項目名,項目選択肢別在庫用縦軸項目名,項目選択肢別在庫用残り表示閾値,RAC番号,サーチ非表示,闇市パスワード,カタログID,在庫戻しフラグ,在庫切れ時の注文受付,在庫あり時納期管理番号,在庫切れ時納期管理番号,予約商品発売日,ポイント変倍率,ポイント変倍率適用期間,ヘッダー・フッター・レフトナビ,表示項目の並び順,共通説明文（小）,目玉商品,共通説明文（大）,レビュー本文表示,サイズ表リンク
,concor-racing-r-w,,563161,,サドル,SANMARCO,SAN MARCO CONCOR RACING RED WHITEサンマルコ 【サドル】 ホワイト ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天,13650,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/sanmarco/concor-racing-r-w.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/sanmarco/concor-racing-r-w.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/sanmarco/concor-racing-r-w.jpg,SANMARCOCONCORRACINGREDWHITE,,,-1,0,,,,,,296915-0010001948,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,concor-racing-team,,563161,,サドル,SANMARCO,SAN MARCO CONCOR RACING TEAMサンマルコ 【サドル】  ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天,14700,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/sanmarco/concor-racing-team.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/sanmarco/concor-racing-team.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/sanmarco/concor-racing-team.jpg,SANMARCOCONCORRACINGTEAM,,,-1,0,,,,,,296915-0010001949,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,concor-racing-w,,563161,,サドル,SANMARCO,SAN MARCO CONCOR RACING WHITEサンマルコ 【サドル】 ホワイト ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天,13650,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/sanmarco/concor-racing-w.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/sanmarco/concor-racing-w.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/sanmarco/concor-racing-w.jpg,SANMARCOCONCORRACINGWHITE,,,-1,0,,,,,,296915-0010001950,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,concor-w,,563161,,サドル,SANMARCO,SAN MARCO CONCOR Vintage WHITEサンマルコ 【サドル】 ホワイト ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天,11340,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/sanmarco/concor-w.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/sanmarco/concor-w.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/sanmarco/concor-w.jpg,SANMARCOCONCORVintageWHITE,,,-1,0,,,,,,296915-0010001951,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,concor-y,,563161,,サドル,SANMARCO,SAN MARCO CONCOR Vintage YELLOWサンマルコ 【サドル】 イエロー ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天,10290,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/sanmarco/concor-y.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/sanmarco/concor-y.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/sanmarco/concor-y.jpg,SANMARCOCONCORVintageYELLOW,,,-1,0,,,,,,296915-0010001952,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,condor,,407699,,ハンドル,DEDA,【ピストバイク ハンドル】デダ  (DEDA CONDOR)  ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学,7980,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/deda/condor.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/deda/condor.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/deda/condor.jpg,DEDACONDOR,,,-1,0,,,,,,296915-0010001755,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,corsa_cx,,563161,,タイヤ,Vittoria,Vittoria CORSA CXビットリア 【ピストバイク タイヤ】  シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天,5985,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/vittoria/corsa_cx.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/vittoria/corsa_cx.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/vittoria/corsa_cx.jpg,VittoriaCORSACX,,,-1,0,,,,,,296915-0010002051,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,corsa_elite,,563161,,タイヤ,Vittoria,Vittoria CORSA ELITEビットリア 【ピストバイク タイヤ】  シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天,6825,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/vittoria/corsa_elite.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/vittoria/corsa_elite.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/vittoria/corsa_elite.jpg,VittoriaCORSAELITE,,,-1,0,,,,,,296915-0010002057,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,corsa_sc,,563161,,タイヤ,Vittoria,Vittoria CORSA SCビットリア 【ピストバイク タイヤ】  シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天,5985,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/vittoria/corsa_sc.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/vittoria/corsa_sc.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/vittoria/corsa_sc.jpg,VittoriaCORSASC,,,-1,0,,,,,,296915-0010002265,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,corsa_sl,,563161,,タイヤ,Vittoria,Vittoria CORSA SLビットリア 【ピストバイク タイヤ】  シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天,5985,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/vittoria/corsa_sl.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/vittoria/corsa_sl.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/vittoria/corsa_sl.jpg,VittoriaCORSASL,,,-1,0,,,,,,296915-0010002053,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,corsa_sr,,563161,,タイヤ,Vittoria,Vittoria CORSA SRビットリア 【ピストバイク タイヤ】  シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天,5985,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/vittoria/corsa_sr.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/vittoria/corsa_sr.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/vittoria/corsa_sr.jpg,VittoriaCORSASR,,,-1,0,,,,,,296915-0010002052,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,cp_sd221_bk,,563161,,サドル,CYCLEPRO,CYCLEPRO CP-sd221 BLACKサイクルプロ 【サドル】  ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天,2875,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cp_sd221_bk.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cp_sd221_bk.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cp_sd221_bk.jpg,CYCLEPROCP-sd221BLACK,,,-1,0,,,,,,296915-0010002175,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,cp_sd221_blue,,563161,,サドル,CYCLEPRO,CYCLEPRO CP-sd221 BLUEサイクルプロ 【サドル】  ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天,3622,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cp_sd221_blue.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cp_sd221_blue.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cp_sd221_blue.jpg,CYCLEPROCP-sd221BLUE,,,-1,0,,,,,,296915-0010002176,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,cp_sd221_brown,,563161,,サドル,CYCLEPRO,CYCLEPRO CP-sd221 BROWNサイクルプロ 【サドル】  ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天,2875,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cp_sd221_brown.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cp_sd221_brown.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cp_sd221_brown.jpg,CYCLEPROCP-sd221BROWN,,,-1,0,,,,,,296915-0010002177,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,cp_sd221_check,,563161,,サドル,CYCLEPRO,CYCLEPRO CP-sd221 CHECKサイクルプロ 【サドル】  ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天,2875,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cp_sd221_check.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cp_sd221_check.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cp_sd221_check.jpg,CYCLEPROCP-sd221CHECK,,,-1,0,,,,,,296915-0010002178,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,cp_sd221_natural,,563161,,サドル,CYCLEPRO,CYCLEPRO CP-sd221 NATURALサイクルプロ 【サドル】  ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天,3622,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cp_sd221_natural.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cp_sd221_natural.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cp_sd221_natural.jpg,CYCLEPROCP-sd221NATURAL,,,-1,0,,,,,,296915-0010002179,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,cp_sd221_red,,563161,,サドル,CYCLEPRO,CYCLEPRO CP-sd221 REDサイクルプロ 【サドル】  ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天,2875,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cp_sd221_red.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cp_sd221_red.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cp_sd221_red.jpg,CYCLEPROCP-sd221RED,,,-1,0,,,,,,296915-0010002180,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,cp_sd221_wh,,563161,,サドル,CYCLEPRO,CYCLEPRO CP-sd221 WHサイクルプロ 【サドル】  ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天,2875,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cp_sd221_wh.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cp_sd221_wh.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cp_sd221_wh.jpg,CYCLEPROCP-sd221WH,,,-1,0,,,,,,296915-0010002181,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,cp_ts_3108,,563161,,バーテープ＆グリップ,CYCLEPRO,【バーテープ＆グリップ】サイクルプロ CYCLEPRO CP-TS 3108 WHITE ホワイト ロードバイク/  シングルスピード/PISTEBIKE/ 自転車 パーツ 楽天,338,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cp_ts_3108.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cp_ts_3108.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cp_ts_3108.jpg,CYCLEPROCP-TS3108WHITE,,,-1,0,,,,,,296915-0010002182,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,cp_ts_3108_bk,,563161,,バーテープ＆グリップ,CYCLEPRO,【バーテープ＆グリップ】サイクルプロ CYCLEPRO CP-TS 3108 BLACK ブラック ロードバイク/  シングルスピード/PISTEBIKE/ 自転車 パーツ 楽天,338,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cp_ts_3108_bk.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cp_ts_3108_bk.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cp_ts_3108_bk.jpg,CYCLEPROCP-TS3108BLACK,,,-1,0,,,,,,296915-0010002183,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,cpbt_004_black,,563161,,バーテープ＆グリップ,CYCLEPRO,【バーテープ＆グリップ】サイクルプロ CYCLEPRO CPBT-004 BLACK ブラック ロードバイク/  シングルスピード/PISTEBIKE/ 自転車 パーツ 楽天,1086,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cpbt_004_black.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cpbt_004_black.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cpbt_004_black.jpg,CYCLEPROCPBT-004BLACK,,,-1,0,,,,,,296915-0010002142,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,cpbt_004_blue,,563161,,バーテープ＆グリップ,CYCLEPRO,【バーテープ＆グリップ】サイクルプロ CYCLEPRO CPBT-004 BLUE ブル０ ロードバイク/  シングルスピード/PISTEBIKE/ 自転車 パーツ 楽天,1086,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cpbt_004_blue.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cpbt_004_blue.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cpbt_004_blue.jpg,CYCLEPROCPBT-004BLUE,,,-1,0,,,,,,296915-0010002143,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,cpbt_004_celeste,,563161,,バーテープ＆グリップ,CYCLEPRO,【バーテープ＆グリップ】サイクルプロ CYCLEPRO CPBT-004 CELESTE  ロードバイク/  シングルスピード/PISTEBIKE/ 自転車 パーツ 楽天,1086,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cpbt_004_celeste.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cpbt_004_celeste.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cpbt_004_celeste.jpg,CYCLEPROCPBT-004CELESTE,,,-1,0,,,,,,296915-0010002144,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,cpbt_004_cork,,563161,,バーテープ＆グリップ,CYCLEPRO,【バーテープ＆グリップ】サイクルプロ CYCLEPRO CPBT-004 CORK  ロードバイク/  シングルスピード/PISTEBIKE/ 自転車 パーツ 楽天,1086,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cpbt_004_cork.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cpbt_004_cork.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cpbt_004_cork.jpg,CYCLEPROCPBT-004CORK,,,-1,0,,,,,,296915-0010002145,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,cpbt_004_or,,563161,,バーテープ＆グリップ,CYCLEPRO,【バーテープ＆グリップ】サイクルプロ CYCLEPRO CPBT-004 OR  ロードバイク/  シングルスピード/PISTEBIKE/ 自転車 パーツ 楽天,1086,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cpbt_004_or.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cpbt_004_or.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cpbt_004_or.jpg,CYCLEPROCPBT-004OR,,,-1,0,,,,,,296915-0010002146,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,cpbt_004_pink,,563161,,バーテープ＆グリップ,CYCLEPRO,【バーテープ＆グリップ】サイクルプロ CYCLEPRO CPBT-004 PINK  ロードバイク/  シングルスピード/PISTEBIKE/ 自転車 パーツ 楽天,1086,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cpbt_004_pink.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cpbt_004_pink.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cpbt_004_pink.jpg,CYCLEPROCPBT-004PINK,,,-1,0,,,,,,296915-0010002147,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,cpbt_004_red,,563161,,バーテープ＆グリップ,CYCLEPRO,【バーテープ＆グリップ】サイクルプロ CYCLEPRO CPBT-004 RED ピンク ロードバイク/  シングルスピード/PISTEBIKE/ 自転車 パーツ 楽天,1086,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cpbt_004_red.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cpbt_004_red.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cpbt_004_red.jpg,CYCLEPROCPBT-004RED,,,-1,0,,,,,,296915-0010002148,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,cpbt_004_white,,563161,,バーテープ＆グリップ,CYCLEPRO,【バーテープ＆グリップ】サイクルプロ CYCLEPRO CPBT-004 WHITE レッド ロードバイク/  シングルスピード/PISTEBIKE/ 自転車 パーツ 楽天,1086,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cpbt_004_white.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cpbt_004_white.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cpbt_004_white.jpg,CYCLEPROCPBT-004WHITE,,,-1,0,,,,,,296915-0010002149,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,cpbt_004_yellow,,563161,,バーテープ＆グリップ,CYCLEPRO,【バーテープ＆グリップ】サイクルプロ CYCLEPRO CPBT-004 YELLOW ホワイト ロードバイク/  シングルスピード/PISTEBIKE/ 自転車 パーツ 楽天,1086,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cpbt_004_yellow.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cpbt_004_yellow.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cpbt_004_yellow.jpg,CYCLEPROCPBT-004YELLOW,,,-1,0,,,,,,296915-0010002150,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,cpbt_005_black,,563161,,バーテープ＆グリップ,CYCLEPRO,【バーテープ＆グリップ】サイクルプロ CYCLEPRO CPBT-005 BLACK イエロー ロードバイク/  シングルスピード/PISTEBIKE/ 自転車 パーツ 楽天,1461,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cpbt_005_black.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cpbt_005_black.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cpbt_005_black.jpg,CYCLEPROCPBT-005BLACK,,,-1,0,,,,,,296915-0010002151,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,cpbt_005_silver,,563161,,バーテープ＆グリップ,CYCLEPRO,【バーテープ＆グリップ】サイクルプロ CYCLEPRO CPBT-005 SILVER シルバー ロードバイク/  シングルスピード/PISTEBIKE/ 自転車 パーツ 楽天,1461,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/cyclepro/cpbt_005_silver.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/cyclepro/cpbt_005_silver.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/cyclepro/cpbt_005_silver.jpg,CYCLEPROCPBT-005SILVER,,,-1,0,,,,,,296915-0010002152,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
