コントロールカラム,商品管理番号（商品URL）,商品番号,全商品ディレクトリID,タグID,PC用キャッチコピー,モバイル用キャッチコピー,商品名,販売価格,表示価格,消費税,送料,個別送料,送料区分1,送料区分2,代引料,倉庫指定,商品情報レイアウト,注文ボタン,資料請求ボタン,商品問い合わせボタン,再入荷お知らせボタン,モバイル表示,のし対応,PC用商品説明文,モバイル用商品説明文,スマートフォン用商品説明文,PC用販売説明文,商品画像URL,商品画像名（ALT）,動画,販売期間指定,注文受付数,在庫タイプ,在庫数,在庫数表示,項目選択肢別在庫用横軸項目名,項目選択肢別在庫用縦軸項目名,項目選択肢別在庫用残り表示閾値,RAC番号,サーチ非表示,闇市パスワード,カタログID,在庫戻しフラグ,在庫切れ時の注文受付,在庫あり時納期管理番号,在庫切れ時納期管理番号,予約商品発売日,ポイント変倍率,ポイント変倍率適用期間,ヘッダー・フッター・レフトナビ,表示項目の並び順,共通説明文（小）,目玉商品,共通説明文（大）,レビュー本文表示,サイズ表リンク
,9th-b_b,,563162,,完成車,CREATE,【ピストバイク 完成車】 クリエイト 9th マットブラック  (CREATE 9th Matte Black / A-Black) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学,49350,,1,0,,1,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/create/9th-b_b.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/create/9th-b_b.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/create/9th-b_b.jpg,CREATE9thMatteBlack/A-Black,,,-1,2,,,サイズ,,0,296915-0010001747,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,9th-b_bl,,563162,,完成車,CREATE,【ピストバイク 完成車】 クリエイト 9th マットブルー  (CREATE 9th Matte Black / A-Blue) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学,49350,,1,0,,1,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/create/9th-b_bl.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/create/9th-b_bl.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/create/9th-b_bl.jpg,CREATE9thMatteBlack/A-Blue,,,-1,2,,,サイズ,,0,296915-0010001748,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,9th-bl_r,,563162,,完成車,CREATE,【ピストバイク 完成車】 クリエイト 9th レッド  (CREATE 9th Blue / A-Red) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学,49350,,1,0,,1,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/create/9th-bl_r.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/create/9th-bl_r.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/create/9th-bl_r.jpg,CREATE9thBlue/A-Red,,,-1,2,,,サイズ,,0,296915-0010001749,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,9th-gry_or,,563162,,完成車,CREATE,【ピストバイク 完成車】 クリエイト 9th オレンジ  (CREATE 9th Matte Gray / A-Orange) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学,49350,,1,0,,1,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/create/9th-gry_or.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/create/9th-gry_or.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/create/9th-gry_or.jpg,CREATE9thMatteGray/A-Orange,,,-1,2,,,サイズ,,0,296915-0010001750,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,9th-mi_bronze,,563162,,完成車,CREATE,【ピストバイク 完成車】 クリエイト 9th ブロンズ  (CREATE 9th Mint / A-Bronze) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学,49350,,1,0,,1,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/create/9th-mi_bronze.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/create/9th-mi_bronze.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/create/9th-mi_bronze.jpg,CREATE9thMint/A-Bronze,,,-1,2,,,サイズ,,0,296915-0010001751,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,9th-p_r,,563162,,完成車,CREATE,【ピストバイク 完成車】 クリエイト 9th レッド  (CREATE 9th Chrome / A-Red) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学,49350,,1,0,,1,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/create/9th-p_r.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/create/9th-p_r.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/create/9th-p_r.jpg,CREATE9thChrome/A-Red,,,-1,2,,,サイズ,,0,296915-0010001752,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,9th-r_p,,563162,,完成車,CREATE,【ピストバイク 完成車】 クリエイト 9th ポリッシュ  (CREATE 9th RED / POLISH) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学,49350,,1,0,,1,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/create/9th-r_p.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/create/9th-r_p.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/create/9th-r_p.jpg,CREATE9thRED/POLISH,,,-1,2,,,サイズ,,0,296915-0010001753,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,9th-w_bl_gr,,563162,,完成車,CREATE,【ピストバイク 完成車】 クリエイト 9th ホワイト ブルー グリーン  (CREATE 9th Matte White / Blue / Green) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学,49350,,1,0,,1,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/create/9th-w_bl_gr.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/create/9th-w_bl_gr.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/create/9th-w_bl_gr.jpg,CREATE9thMatteWhite/Blue/Green,,,-1,2,,,サイズ,,0,296915-0010001754,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,acc_adapter_bk,,101161,,アクセサリー,grunge,grunge ステムアダプター BLACKgrunge ブラック ステムアダプター BLACK  ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天,1575,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/grunge/acc_adapter_bk.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/grunge/acc_adapter_bk.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/grunge/acc_adapter_bk.jpg,grungeステムアダプターBLACK,,,-1,0,,,,,,296915-0010002545,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,acc_adapter_s,,101161,,アクセサリー,grunge,grunge ステムアダプター SILVERgrunge シルバー ステムアダプター SILVER  ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天,1575,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/grunge/acc_adapter_s.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/grunge/acc_adapter_s.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/grunge/acc_adapter_s.jpg,grungeステムアダプターSILVER,,,-1,0,,,,,,296915-0010002546,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
